id;stock;name;image;ean;description
1;14383;gegen Objekte Fluss;hernach gustieren um;wünschen zuhanden oof;von while südwestlich
2;29922;deutlich retardieren;fooey ha außer;as pro herunter;zowie willen
3;9793;pro;frühmorgens garantiert über;yet arbitrieren;Laser plus
4;12561;wohl ha;eek anderenfalls funkelnd;über vis-à-vis beiderseits;drücken tagen
5;9573;yahoo fachgerecht;which grad;zuschanden einfühlsam;whoa
6;17885;aus;ohne drechseln parkieren;vom;Religion fair Saft
7;25109;er;if Metallurgie;once Technologie whenever;Gesellschaft Schnee
8;19999;Biologie nor;einbezüglich Schule;seitdem interpretieren;gefälligst zwecks schachern
9;27902;gee wie;but pish;bagatellisieren abkapseln if;ebendaselbst dazumal yippee
10;13655;gegen why Diktatur;before for wochenends;ausweislich;jüngstens
