id;name;image;ean;description;category_id;brand_id;color_id;stock
1;Classic Fit T-Shirt;https://picsum.photos/seed/picsum/100/100;4011200296714;Hochwertiges Basic T-Shirt aus 100% Bio-Baumwolle;1;1;1;245
2;Slim Fit Jeans;https://picsum.photos/seed/picsum/100/100;4057289855648;Moderne Slim Fit Jeans mit mittlerer Bundhöhe;8;2;3;156
3;Winterparka;https://picsum.photos/seed/picsum/100/100;4029105739012;Warmer Winterparka mit abnehmbarer Kapuze;3;3;2;89
4;Merino Pullover;https://picsum.photos/seed/picsum/100/100;4008118741235;Hochwertiger Pullover aus Merino-Wolle;4;4;4;178
5;Sommerkleid;https://picsum.photos/seed/picsum/100/100;4053859746123;Luftiges Sommerkleid mit Blumenmuster;5;5;5;122
6;Business Bluse;https://picsum.photos/seed/picsum/100/100;4049254861237;Bürotaugliche Bluse aus Baumwoll-Mix;6;6;1;167
7;Plisseerock;https://picsum.photos/seed/picsum/100/100;4011200374962;Eleganter Plisseerock in Midi-Länge;7;7;2;98
8;Regular Fit Jeans;https://picsum.photos/seed/picsum/100/100;4057289123456;Klassische Regular Fit Jeans;8;8;6;234
9;Wollmantel;https://picsum.photos/seed/picsum/100/100;4029105987456;Eleganter Wollmantel mit Reverskragen;9;9;7;67
10;Business Schnürer;https://picsum.photos/seed/picsum/100/100;4053981234567;Klassischer Business Schuh aus Leder;10;10;2;189
11;Sneakersocken 3er Pack;https://picsum.photos/seed/picsum/100/100;4011200987654;Bequeme Sneakersocken aus Baumwolle;11;11;2;456
12;Schirmmütze;https://picsum.photos/seed/picsum/100/100;4057289456789;Baseball Cap mit verstellbarem Verschluss;12;12;8;145
13;Wollschal;https://picsum.photos/seed/picsum/100/100;4029105654321;Warmer Schal aus reiner Wolle;13;13;4;167
14;Lederhandschuhe;https://picsum.photos/seed/picsum/100/100;4053981111111;Klassische Handschuhe aus Leder;14;14;9;89
15;Ledergürtel;https://picsum.photos/seed/picsum/100/100;4011200222222;Hochwertiger Gürtel aus Rindsleder;15;15;2;234
16;Boxershorts 2er Pack;https://picsum.photos/seed/picsum/100/100;4057289333333;Bequeme Boxershorts aus Baumwolle;16;16;3;345
17;Badeshorts;https://picsum.photos/seed/picsum/100/100;4029105444444;Schnelltrocknende Badeshorts;17;17;5;123
18;Business Anzug;https://picsum.photos/seed/picsum/100/100;4053981555555;Klassischer Anzug aus Schurwolle;18;18;6;78
19;Seidenkrawatte;https://picsum.photos/seed/picsum/100/100;4011200666666;Elegante Krawatte aus reiner Seide;19;19;10;156
20;Laufschuhe;https://picsum.photos/seed/picsum/100/100;4057289777777;Professionelle Laufschuhe;20;20;4;234
21;Lifestyle Sneaker;https://picsum.photos/seed/picsum/100/100;4029105888888;Trendige Sneaker aus Textil;21;21;1;345
22;Chelsea Boots;https://picsum.photos/seed/picsum/100/100;4053981999999;Klassische Chelsea Boots aus Leder;22;22;2;167
23;Ledersandalen;https://picsum.photos/seed/picsum/100/100;4011200123456;Bequeme Sandalen aus Leder;23;23;9;189
24;Cargo Shorts;https://picsum.photos/seed/picsum/100/100;4057289234567;Praktische Cargo Shorts mit vielen Taschen;24;24;15;278
25;Kapuzenpullover;https://picsum.photos/seed/picsum/100/100;4029105345678;Lässiger Hoodie aus Baumwolle;25;25;4;345
26;V-Neck T-Shirt;https://picsum.photos/seed/picsum/100/100;4053981456789;Basic T-Shirt mit V-Ausschnitt;1;26;2;156
27;Chino Hose;https://picsum.photos/seed/picsum/100/100;4011200567890;Elegante Chino Hose aus Baumwolle;2;27;15;234
28;Bomberjacke;https://picsum.photos/seed/picsum/100/100;4057289678901;Trendige Bomberjacke;3;28;11;167
29;Strickpullover;https://picsum.photos/seed/picsum/100/100;4029105789012;Warmer Strickpullover mit Zopfmuster;4;29;12;289
30;Cocktailkleid;https://picsum.photos/seed/picsum/100/100;4053981890123;Elegantes Cocktailkleid;5;30;2;178
31;Satinbluse;https://picsum.photos/seed/picsum/100/100;4011200901234;Elegante Bluse aus Satin;6;31;13;234
32;Jeansrock;https://picsum.photos/seed/picsum/100/100;4057289012345;Klassischer Jeansrock;7;32;14;145
33;Skinny Jeans;https://picsum.photos/seed/picsum/100/100;4029105123456;Eng anliegende Skinny Jeans;8;33;2;267
34;Trenchcoat;https://picsum.photos/seed/picsum/100/100;4053981234567;Klassischer Trenchcoat;9;34;15;189
35;Ballerinas;https://picsum.photos/seed/picsum/100/100;4011200345678;Elegante Ballerinas aus Leder;10;35;2;245
36;Businesssocken 5er Pack;https://picsum.photos/seed/picsum/100/100;4057289456789;Klassische Business Socken;11;36;2;456
37;Baskenmütze;https://picsum.photos/seed/picsum/100/100;4029105567890;Stilvolle Baskenmütze aus Wolle;12;37;5;178
38;Kaschmirschal;https://picsum.photos/seed/picsum/100/100;4053981678901;Luxuriöser Schal aus Kaschmir;13;38;4;234
39;Handschuhe aus Wolle;https://picsum.photos/seed/picsum/100/100;4011200789012;Warme Handschuhe aus Wolle;14;14;2;156
40;Flechtgürtel;https://picsum.photos/seed/picsum/100/100;4057289890123;Geflochtener Gürtel aus Leder;15;10;16;289
41;Slip 3er Pack;https://picsum.photos/seed/picsum/100/100;4029105901234;Basic Slips aus Baumwolle;16;39;1;345
42;Bikini;https://picsum.photos/seed/picsum/100/100;4053981012345;Zweiteiliger Bikini;17;40;3;167
43;Smoking;https://picsum.photos/seed/picsum/100/100;4011200123456;Eleganter Smoking aus Wolle;18;41;2;145
